product_id,title,category,price,embedding
P001,Snacks Product 1,Snacks,29.11,0.1718|0.1441|0.4741|0.1316
P002,Snacks Product 2,Snacks,24.51,0.1785|0.1293|0.4512|0.1260
P003,Snacks Product 3,Snacks,10.57,0.1312|0.1345|0.4379|0.2523
P004,Snacks Product 4,Snacks,22.85,0.1557|0.2204|0.5216|0.2123
P005,Snacks Product 5,Snacks,11.49,0.2762|0.1275|0.5074|0.1663
P006,Snacks Product 6,Snacks,31.17,0.1388|0.1694|0.5006|0.1489
P007,Snacks Product 7,Snacks,7.68,0.2222|0.1796|0.4576|0.1300
P008,Snacks Product 8,Snacks,31.35,0.1530|0.2289|0.4384|0.1703
P009,Snacks Product 9,Snacks,15.98,0.1925|0.1680|0.4971|0.2318
P010,Snacks Product 10,Snacks,17.96,0.2119|0.2040|0.5100|0.2367
P011,Snacks Product 11,Snacks,11.84,0.2768|0.1389|0.4369|0.2411
P012,Snacks Product 12,Snacks,30.79,0.1982|0.1263|0.4769|0.2423
P013,Beverages Product 1,Beverages,31.1,0.4601|0.2702|0.6312|0.2651
P014,Beverages Product 2,Beverages,34.89,0.3930|0.3544|0.6711|0.2459
P015,Beverages Product 3,Beverages,41.99,0.3297|0.3322|0.6235|0.3289
P016,Beverages Product 4,Beverages,25.78,0.3655|0.2817|0.6270|0.1736
P017,Beverages Product 5,Beverages,10.82,0.3469|0.2387|0.5294|0.2929
P018,Beverages Product 6,Beverages,25.21,0.3596|0.2826|0.6594|0.1829
P019,Beverages Product 7,Beverages,17.53,0.4079|0.3613|0.6511|0.3082
P020,Beverages Product 8,Beverages,11.79,0.3864|0.2774|0.6615|0.3232
P021,Beverages Product 9,Beverages,31.51,0.3482|0.2571|0.5573|0.2476
P022,Beverages Product 10,Beverages,30.49,0.3620|0.2207|0.5870|0.2291
P023,Beverages Product 11,Beverages,35.43,0.4725|0.3305|0.6025|0.2688
P024,Beverages Product 12,Beverages,40.9,0.3286|0.3639|0.6448|0.3099
P025,Electronics Product 1,Electronics,7.8,0.5828|0.3838|0.6866|0.3215
P026,Electronics Product 2,Electronics,7.37,0.5308|0.3534|0.6960|0.2744
P027,Electronics Product 3,Electronics,6.15,0.5200|0.3442|0.6862|0.2782
P028,Electronics Product 4,Electronics,20.63,0.6599|0.4183|0.6938|0.2604
P029,Electronics Product 5,Electronics,25.97,0.5783|0.3397|0.8058|0.3789
P030,Electronics Product 6,Electronics,16.91,0.5974|0.3337|0.6864|0.2748
P031,Electronics Product 7,Electronics,28.77,0.6526|0.3458|0.6737|0.3722
P032,Electronics Product 8,Electronics,49.03,0.5435|0.4069|0.6743|0.3045
P033,Electronics Product 9,Electronics,12.52,0.6581|0.4314|0.7118|0.2787
P034,Electronics Product 10,Electronics,15.04,0.6435|0.4052|0.7946|0.2727
P035,Electronics Product 11,Electronics,41.82,0.6498|0.4776|0.8064|0.3490
P036,Electronics Product 12,Electronics,6.3,0.6384|0.3563|0.7528|0.2769
P037,Beauty Product 1,Beauty,48.04,0.7245|0.4647|0.8615|0.3808
P038,Beauty Product 2,Beauty,21.41,0.7916|0.5699|0.9781|0.4228
P039,Beauty Product 3,Beauty,33.08,0.7553|0.4563|0.8515|0.3027
P040,Beauty Product 4,Beauty,40.98,0.8640|0.5545|0.8967|0.3745
P041,Beauty Product 5,Beauty,38.76,0.7336|0.5257|0.9656|0.3952
P042,Beauty Product 6,Beauty,41.04,0.7965|0.4486|0.9463|0.3232
P043,Beauty Product 7,Beauty,37.62,0.8755|0.4833|0.8842|0.4215
P044,Beauty Product 8,Beauty,41.29,0.7472|0.4403|0.8442|0.4148
P045,Beauty Product 9,Beauty,20.77,0.7434|0.5522|0.9768|0.3752
P046,Beauty Product 10,Beauty,34.24,0.8078|0.4410|0.8223|0.4253
P047,Beauty Product 11,Beauty,42.18,0.8043|0.5694|0.8894|0.4095
P048,Beauty Product 12,Beauty,31.39,0.7538|0.4603|0.8669|0.3085
P049,HomeKitchen Product 1,HomeKitchen,20.92,0.9615|0.5870|0.9910|0.4656
P050,HomeKitchen Product 2,HomeKitchen,46.3,0.9933|0.6133|1.1147|0.3873
P051,HomeKitchen Product 3,HomeKitchen,24.81,1.0003|0.6051|1.0538|0.3230
P052,HomeKitchen Product 4,HomeKitchen,26.31,0.9493|0.5206|1.0979|0.3476
P053,HomeKitchen Product 5,HomeKitchen,29.99,1.0360|0.6090|1.0222|0.4029
P054,HomeKitchen Product 6,HomeKitchen,17.46,1.0455|0.5370|1.0596|0.3598
P055,HomeKitchen Product 7,HomeKitchen,46.06,1.0436|0.6012|1.0599|0.4416
P056,HomeKitchen Product 8,HomeKitchen,36.17,0.9909|0.6180|1.0509|0.4019
P057,HomeKitchen Product 9,HomeKitchen,36.46,0.9924|0.6053|1.0465|0.4706
P058,HomeKitchen Product 10,HomeKitchen,47.45,1.0602|0.6707|1.0115|0.4095
P059,HomeKitchen Product 11,HomeKitchen,8.26,1.0544|0.5419|0.9895|0.3907
P060,HomeKitchen Product 12,HomeKitchen,45.37,0.9585|0.5317|1.0771|0.4454
